job_id,arrival_time,duration,res_0,res_1
11174,1092,1,2,5
11175,1092,2,3,5
11176,1092,8,3,5
11177,1092,1,2,5
11178,1092,1,2,5
11179,1092,1,2,5
11180,1092,1,1,1
11181,1092,2,2,1
11182,1092,1,3,5
11183,1092,1,1,1
11184,1092,1,1,1
11185,1093,1,2,5
11186,1093,2,1,1
11187,1093,1,1,1
11188,1093,1,1,1
11189,1093,1,10,10
11190,1094,1,1,1
11191,1094,1,2,5
11192,1094,1,1,1
11193,1094,15,2,5
11194,1095,1,2,5
11195,1095,15,1,1
11196,1095,1,2,1
11197,1095,1,1,1
11198,1095,1,1,1
11199,1095,1,2,5
11200,1095,1,2,5
11201,1095,1,1,1
11202,1095,1,1,1
11203,1096,1,2,5
11204,1096,1,2,5
11205,1096,1,2,5
11206,1096,1,2,5
11207,1096,1,1,1
11208,1096,15,10,10
11209,1097,1,2,5
11210,1097,1,1,1
11211,1097,1,2,1
11212,1097,1,2,5
11213,1097,1,2,5
11214,1097,1,2,5
11215,1098,1,1,1
11216,1098,1,1,1
11217,1098,1,1,1
11218,1098,1,1,1
11219,1098,15,1,1
11220,1098,1,2,5
11221,1099,3,1,1
11222,1099,3,2,5
11223,1099,1,2,5
11224,1099,1,1,1
11225,1100,1,1,1
11226,1100,1,10,10
11227,1101,1,2,5
11228,1101,1,1,1
11229,1101,1,1,1
11230,1101,1,1,1
11231,1101,1,1,1
11232,1101,1,1,1
11233,1101,7,1,1
11234,1101,2,2,5
11235,1101,1,2,5
11236,1101,1,2,5
11237,1101,15,2,5
11238,1101,1,10,10
11239,1101,3,3,5
11240,1101,1,10,10
11241,1101,1,2,5
11242,1101,3,3,5
11243,1101,1,2,1
11244,1101,1,2,5
11245,1101,2,1,1
11246,1101,3,3,5
11247,1101,1,2,5
11248,1101,1,2,5
11249,1102,2,1,1
11250,1102,1,2,5
11251,1102,14,1,1
11252,1102,1,2,5
11253,1102,1,2,5
11254,1103,14,1,1
11255,1103,1,1,1
11256,1103,1,1,1
11257,1103,1,2,5
11258,1103,1,2,5
11259,1103,1,2,5
11260,1103,1,1,1
11261,1103,1,1,1
11262,1104,1,1,1
11263,1104,1,1,1
11264,1104,15,2,1
11265,1104,1,2,5
11266,1104,1,2,5
11267,1104,1,2,1
11268,1104,1,1,1
11269,1104,1,10,10
11270,1104,1,2,5
11271,1104,12,2,5
11272,1104,15,2,5
11273,1105,4,2,5
11274,1105,1,2,5
11275,1105,1,2,5
11276,1105,1,1,1
11277,1105,1,2,5
11278,1105,1,1,1
11279,1105,1,10,10
11280,1106,1,10,10
11281,1106,1,1,1
11282,1106,14,1,1
11283,1106,1,2,5
11284,1106,2,1,1
11285,1106,1,1,1
11286,1106,15,1,1
11287,1106,1,2,5
11288,1106,1,1,1
11289,1106,1,1,1
11290,1106,1,1,1
11291,1106,1,1,1
11292,1106,1,1,1
11293,1106,1,1,1
11294,1107,1,1,1
11295,1107,1,2,5
11296,1107,5,1,1
11297,1107,1,1,1
11298,1108,12,1,1
11299,1108,1,1,1
11300,1108,15,1,1
11301,1108,15,1,1
11302,1108,1,1,1
11303,1108,1,2,1
11304,1108,1,3,5
11305,1108,1,2,1
11306,1108,1,2,5
11307,1108,1,1,1
11308,1108,1,1,1
11309,1108,2,3,5
11310,1108,1,2,1
11311,1109,1,2,5
11312,1109,1,1,1
11313,1109,1,1,1
11314,1109,5,1,1
11315,1109,1,1,1
11316,1110,1,2,5
11317,1110,1,1,1
11318,1110,8,2,5
11319,1110,15,1,1
11320,1110,11,2,1
11321,1110,13,1,1
11322,1110,1,1,1
11323,1111,1,1,1
11324,1111,1,2,5
11325,1111,1,1,1
11326,1111,1,10,10
11327,1111,1,1,1
11328,1111,3,1,1
11329,1111,2,1,1
11330,1111,1,2,5
11331,1112,1,2,5
11332,1112,1,1,1
11333,1112,1,1,1
11334,1112,1,2,5
11335,1112,13,1,1
11336,1112,1,1,1
11337,1112,1,1,1
11338,1112,1,1,1
11339,1112,2,2,5
11340,1112,5,2,5
11341,1112,15,2,5
11342,1112,1,1,1
11343,1113,1,2,5
11344,1113,2,1,1
11345,1113,2,1,1
11346,1113,1,1,1
11347,1114,1,1,1
11348,1114,1,1,1
11349,1114,1,1,1
11350,1114,1,1,1
11351,1114,1,2,5
11352,1114,15,1,1
11353,1114,1,2,5
11354,1114,1,10,10
11355,1114,1,2,5
11356,1115,1,2,5
11357,1115,12,2,5
11358,1116,1,2,5
11359,1116,1,3,5
11360,1116,15,1,1
11361,1116,1,1,1
11362,1116,1,1,1
11363,1116,1,2,5
11364,1117,15,2,5
11365,1117,1,2,5
11366,1117,1,2,5
11367,1117,1,1,1
11368,1117,1,2,1
11369,1117,1,1,1
11370,1117,2,3,5
11371,1117,1,2,5
11372,1117,2,3,5
11373,1117,1,1,1
11374,1117,1,1,1
11375,1117,1,1,1
11376,1118,4,1,1
11377,1118,1,1,1
11378,1118,1,2,5
11379,1118,4,1,1
11380,1118,1,1,1
11381,1118,1,2,5
11382,1118,1,10,10
11383,1118,1,1,1
11384,1118,1,1,1
11385,1118,15,1,1
11386,1119,1,1,1
11387,1119,1,1,1
11388,1119,1,1,1
11389,1119,1,1,1
11390,1119,1,1,1
11391,1119,15,2,5
11392,1120,1,2,5
11393,1120,1,2,5
11394,1120,1,1,1
11395,1120,1,1,1
11396,1120,1,1,1
11397,1120,1,1,1
11398,1120,1,1,1
11399,1121,8,1,1
11400,1121,1,2,1
11401,1121,6,1,1
11402,1121,1,2,1
11403,1121,1,1,1
11404,1121,1,10,10
11405,1121,1,2,5
11406,1122,1,2,5
11407,1122,1,2,5
11408,1122,3,2,5
11409,1122,1,2,5
11410,1122,1,2,5
11411,1122,1,2,5
11412,1122,7,1,1
11413,1122,15,1,1
11414,1122,1,2,5
11415,1122,7,1,1
11416,1122,1,2,5
11417,1122,1,2,5
11418,1122,1,2,5
11419,1122,1,2,5
11420,1123,1,2,5
11421,1123,1,1,1
11422,1123,8,3,5
11423,1123,1,1,1
11424,1123,1,1,1
11425,1123,1,1,1
11426,1123,1,2,5
11427,1123,1,2,5
11428,1123,1,1,1
11429,1123,6,2,5
11430,1123,1,2,5
11431,1124,3,1,1
11432,1124,1,2,5
11433,1124,1,2,1
11434,1124,1,2,5
11435,1124,2,2,5
11436,1124,2,2,5
11437,1124,1,1,1
11438,1124,1,1,1
11439,1124,15,2,5
11440,1124,1,1,1
11441,1125,1,2,5
11442,1125,1,1,1
11443,1125,1,2,5
11444,1125,1,2,5
11445,1125,1,1,1
11446,1125,1,2,5
11447,1125,1,1,1
11448,1126,1,1,1
11449,1126,3,1,1
11450,1126,1,2,5
11451,1126,1,2,5
11452,1126,1,1,1
11453,1126,6,1,1
11454,1126,6,1,1
11455,1126,1,2,5
11456,1126,15,1,1
11457,1127,1,1,1
11458,1127,1,2,5
11459,1127,1,2,5
11460,1127,15,2,5
11461,1127,2,2,5
11462,1128,9,2,1
11463,1128,8,1,1
11464,1128,1,2,5
11465,1128,1,2,5
11466,1128,15,1,1
11467,1128,1,2,5
11468,1128,1,1,1
11469,1129,1,3,5
11470,1129,1,3,5
11471,1129,1,2,5
11472,1129,7,1,1
11473,1129,1,2,5
11474,1129,1,1,1
11475,1129,1,2,5
11476,1129,1,3,5
11477,1129,1,3,5
11478,1129,15,2,5
11479,1130,1,1,1
11480,1130,1,2,5
11481,1130,1,3,5
11482,1130,2,3,5
11483,1130,1,2,5
11484,1130,1,2,5
11485,1130,1,1,1
11486,1130,1,2,5
11487,1130,1,1,1
11488,1130,1,2,1
11489,1130,1,1,1
11490,1130,1,2,5
11491,1131,1,2,5
11492,1131,1,10,10
11493,1131,1,2,5
11494,1131,4,1,1
11495,1132,9,1,1
11496,1132,1,10,10
11497,1132,1,2,5
11498,1132,4,1,1
11499,1132,2,1,1
11500,1133,1,2,5
11501,1133,3,1,1
11502,1133,7,1,1
11503,1133,1,2,5
11504,1133,1,1,1
11505,1133,15,2,5
11506,1134,4,1,1
11507,1134,15,2,5
11508,1134,1,1,1
11509,1134,1,10,10
11510,1134,15,2,5
11511,1134,1,2,5
11512,1134,1,2,5
11513,1134,1,1,1
11514,1134,1,1,1
11515,1134,1,2,1
11516,1134,1,1,1
11517,1135,1,1,1
11518,1135,2,2,5
11519,1135,1,2,5
11520,1135,1,10,10
11521,1135,1,1,1
11522,1135,1,1,1
11523,1135,6,2,5
11524,1135,7,1,1
11525,1135,1,2,5
11526,1136,1,2,5
11527,1136,1,2,5
11528,1136,1,2,5
11529,1136,1,2,5
11530,1136,1,1,1
11531,1136,1,2,5
11532,1136,1,1,1
11533,1136,1,1,1
11534,1136,15,1,1
11535,1136,2,1,1
11536,1136,1,2,5
11537,1137,9,1,1
11538,1137,4,1,1
11539,1137,1,2,5
11540,1137,1,2,5
11541,1137,1,2,5
11542,1137,1,1,1
11543,1137,1,1,1
11544,1138,1,1,1
11545,1138,1,2,5
11546,1138,15,10,10
11547,1138,1,3,5
11548,1138,1,1,1
11549,1139,1,2,5
11550,1139,9,1,1
11551,1139,1,3,5
11552,1139,1,2,5
11553,1139,8,1,1
11554,1139,1,1,1
11555,1140,1,2,5
11556,1140,1,1,1
11557,1140,1,1,1
11558,1140,1,1,1
11559,1140,1,1,1
11560,1140,1,2,5
11561,1140,1,2,5
11562,1140,1,2,5
11563,1140,1,1,1
11564,1140,1,2,5
11565,1141,1,2,5
11566,1141,1,1,1
11567,1141,1,3,5
11568,1141,1,2,5
11569,1141,1,2,5
11570,1141,1,2,5
11571,1141,1,2,5
11572,1142,1,2,5
11573,1142,1,1,1
11574,1142,15,2,5
11575,1142,15,1,1
11576,1142,15,2,5
11577,1142,9,1,1
11578,1142,1,1,1
11579,1142,1,1,1
11580,1142,1,3,5
11581,1142,1,2,5
11582,1142,1,2,5
11583,1143,1,2,5
11584,1143,1,2,5
11585,1143,1,1,1
11586,1143,1,1,1
11587,1143,15,2,5
11588,1143,1,2,5
11589,1143,1,1,1
11590,1144,1,2,5
11591,1144,1,2,5
11592,1144,1,2,5
11593,1144,1,1,1
11594,1144,1,1,1
11595,1144,1,2,5
11596,1145,8,2,5
11597,1145,1,2,5
11598,1145,1,1,1
11599,1145,1,1,1
11600,1145,1,1,1
11601,1145,3,2,5
11602,1145,1,2,5
11603,1145,1,1,1
11604,1145,15,1,1
11605,1145,1,1,1
11606,1145,1,1,1
11607,1145,1,2,5
11608,1145,1,2,5
11609,1146,1,1,1
11610,1146,1,2,1
11611,1146,2,2,5
11612,1146,1,10,10
11613,1146,1,2,5
11614,1146,12,3,5
11615,1146,15,1,1
11616,1147,1,2,5
11617,1147,15,1,1
11618,1147,1,1,1
11619,1147,1,1,1
11620,1147,13,1,1
11621,1147,1,2,5
11622,1148,15,1,1
11623,1148,1,1,1
11624,1148,1,10,10
11625,1148,1,2,5
11626,1148,2,1,1
11627,1148,1,2,5
11628,1148,15,2,5
11629,1148,15,2,5
11630,1148,1,1,1
11631,1148,1,1,1
11632,1149,2,2,5
11633,1149,1,2,5
11634,1149,1,1,1
11635,1149,2,3,5
11636,1149,1,2,5
11637,1149,3,1,1
11638,1149,1,2,1
11639,1149,1,1,1
11640,1149,3,2,5
11641,1149,15,1,1
11642,1149,1,1,1
11643,1150,1,1,1
11644,1150,1,2,5
11645,1150,1,1,1
11646,1150,8,1,1
11647,1150,8,1,1
11648,1151,9,1,1
11649,1151,1,2,5
11650,1151,1,1,1
11651,1151,15,1,1
11652,1151,1,1,1
11653,1151,1,1,1
11654,1151,1,1,1
11655,1151,1,1,1
11656,1151,1,1,1
11657,1151,1,1,1
11658,1151,1,1,1
11659,1151,1,2,5
11660,1151,1,1,1
11661,1151,1,1,1
11662,1151,1,2,5
11663,1151,15,2,5
11664,1152,1,1,1
11665,1152,1,2,5
11666,1152,4,1,1
11667,1152,4,1,1
11668,1152,1,2,1
11669,1153,1,2,5
11670,1153,1,1,1
11671,1153,1,1,1
11672,1153,1,1,1
11673,1153,1,1,1
11674,1154,15,1,1
11675,1154,1,1,1
11676,1154,1,1,1
11677,1155,1,1,1
11678,1155,1,2,5
11679,1155,1,2,5
11680,1155,1,2,5
11681,1155,1,2,5
11682,1155,1,10,10
11683,1155,1,10,10
11684,1155,15,3,5
11685,1156,1,2,5
11686,1156,15,1,1
11687,1156,1,2,5
11688,1156,1,2,1
11689,1156,1,2,5
11690,1156,1,2,5
11691,1156,1,1,1
11692,1156,1,2,5
11693,1156,1,2,5
11694,1156,1,1,1
11695,1156,1,2,1
11696,1156,1,1,1
11697,1156,1,1,1
11698,1157,1,1,1
11699,1157,1,10,10
11700,1157,1,2,5
11701,1157,1,2,1
11702,1157,1,2,5
11703,1157,1,10,10
11704,1157,1,1,1
11705,1157,1,2,5
11706,1157,1,1,1
11707,1157,14,1,1
11708,1157,3,2,5
11709,1157,1,2,5
11710,1157,15,2,5
11711,1157,1,2,5
11712,1157,1,10,10
11713,1157,1,2,5
11714,1158,1,1,1
11715,1158,1,1,1
11716,1158,1,1,1
11717,1158,1,1,1
11718,1158,1,1,1
11719,1158,1,10,10
11720,1158,1,1,1
11721,1158,1,1,1
11722,1158,1,1,1
11723,1158,1,1,1
11724,1158,3,2,5
11725,1159,1,1,1
11726,1159,3,1,1
11727,1159,11,10,10
11728,1159,1,2,5
11729,1159,1,1,1
11730,1159,1,1,1
11731,1159,1,2,5
11732,1159,1,1,1
11733,1159,1,2,5
11734,1159,1,2,5
11735,1160,12,1,1
11736,1160,1,1,1
11737,1160,1,2,5
11738,1160,1,10,10
11739,1160,1,1,1
11740,1160,1,3,5
11741,1161,1,10,10
11742,1161,1,2,5
11743,1161,1,1,1
11744,1161,2,2,5
11745,1161,1,1,1
11746,1161,1,2,5
11747,1161,1,1,1
11748,1162,1,3,5
11749,1162,1,1,1
11750,1162,1,1,1
11751,1162,1,1,1
11752,1162,1,1,1
11753,1162,1,1,1
11754,1162,1,1,1
11755,1162,1,2,1
11756,1162,1,1,1
11757,1162,1,1,1
11758,1162,11,10,10
11759,1162,1,2,5
11760,1162,1,1,1
11761,1163,12,3,5
11762,1163,12,3,5
11763,1163,15,2,1
11764,1163,10,10,10
11765,1163,13,3,5
11766,1163,1,2,5
11767,1163,1,1,1
11768,1163,1,3,5
11769,1163,12,3,5
11770,1163,4,3,5
11771,1163,3,3,5
11772,1163,3,3,5
11773,1163,1,1,1
11774,1163,1,3,5
11775,1164,1,1,1
11776,1164,1,1,1
11777,1164,3,3,5
11778,1164,1,1,1
11779,1164,2,1,1
11780,1164,1,1,1
11781,1164,1,1,1
11782,1164,15,2,5
11783,1164,15,1,1
11784,1164,1,1,1
11785,1165,2,10,10
11786,1165,1,2,5
11787,1165,1,1,1
11788,1165,1,2,5
11789,1165,5,3,5
11790,1165,1,10,10
11791,1165,15,3,5
11792,1165,2,3,5
11793,1165,3,10,10
11794,1165,1,2,5
11795,1165,1,2,5
11796,1165,8,10,10
11797,1165,8,1,1
11798,1165,1,2,5
11799,1165,1,10,10
11800,1166,1,1,1
11801,1166,1,1,1
11802,1166,15,1,1
11803,1167,1,3,5
11804,1167,1,2,5
